A1|Dressing for one wound
S2401|"Repair, urinary tract obstruction in the fetus, procedure performed in utero"
S2402|"Repair, congenital cystic adenomatoid malformation in the fetus, procedure performed in utero"
S2403|"Repair, extralobar pulmonary sequestration in the fetus, procedure performed in utero"
S2404|"Repair, myelomeningocele in the fetus, procedure performed in utero"
S2405|"Repair of sacrococcygeal teratoma in the fetus, procedure performed in utero"
S2409|"Repair, congenital malformation of fetus, procedure performed in utero, not otherwise classified"
S2411|Fetoscopic laser therapy for treatment of twin-to-twin transfusion syndrome
S2900|Surgical techniques requiring use of robotic surgical system (list separately in addition to code for primary procedure)
S3000|"Diabetic indicator; retinal eye exam, dilated, bilateral"
S3005|"Performance measurement, evaluation of patient self assessment, depression"
S3600|Stat laboratory request (situations other than s3601)
S3601|Emergency stat laboratory charge for patient who is homebound or residing in a nursing facility
S3620|"Newborn metabolic screening panel, includes test kit, postage and the laboratory tests specified by the state for inclusion in this panel (e.g. galactose; hemoglobin, electrophoresis;  hydroxyprogesterone, 17-d; phenylalanine (pku); and thyroxine, total)"
S3625|"Maternal serum triple marker screen including alpha-fetoprotein (afp), estriol, and human chorionic gonadotropin (hcg)"
S3626|"Maternal serum quadruple marker screen including alpha-fetoprotein (afp), estriol, human chorionic gonadotropin (hcg) and inhibin a"
S3630|"Eosinophil count, blood, direct"
S3645|Hiv-1 antibody testing of oral mucosal transudate
S3650|"Saliva test, hormone level; during menopause"
S3652|"Saliva test, hormone level; to assess preterm labor risk"
S3655|Antisperm antibodies test (immunobead)
S3708|Gastrointestinal fat absorption study
S3711|Circulating tumor cell test
S3713|Kras mutation analysis testing
S3721|Prostate cancer antigen 3 (pca3) testing
S3722|"Dose optimization by area under the curve (auc) analysis, for infusional 5-fluorouracil"
S3800|Genetic testing for amyotrophic lateral sclerosis (als)
S3818|Complete gene sequence analysis; brca1 gene
S3819|Complete gene sequence analysis; brca2 gene
S3820|Complete brca1 and brca2 gene sequence analysis for susceptibility to breast and ovarian cancer
S3822|Single mutation analysis (in individual with a known brca1 or brca2 mutation in the family) for susceptibility to breast and ovarian cancer
S3823|Three-mutation brca1 and brca2 analysis for susceptibility to breast and ovarian cancer in ashkenazi individuals
S3828|Complete gene sequence analysis; mlh1 gene
S3829|Complete gene sequence analysis; msh2 gene
S3830|Complete mlh1 and msh2 gene sequence analysis for hereditary nonpolyposis colorectal cancer (hnpcc) genetic testing
S3831|Single-mutation analysis (in individual with a known mlh1 and msh2 mutation in the family) for hereditary nonpolyposis colorectal cancer (hnpcc) genetic testing
S3833|Complete apc gene sequence analysis for susceptibility to familial adenomatous polyposis (fap) and attenuated fap
S3834|Single-mutation analysis (in individual with a known apc mutation in the family) for susceptibility to familial adenomatous polyposis (fap) and attenuated fap
S3835|Complete gene sequence analysis for cystic fibrosis genetic testing
S3837|Complete gene sequence analysis for hemochromatosis genetic testing
S3840|Dna analysis for germline mutations of the ret proto-oncogene for susceptibility to multiple endocrine neoplasia type 2
S3841|Genetic testing for retinoblastoma
S3842|Genetic testing for von hippel-lindau disease
S3843|Dna analysis of the f5 gene for susceptibility to factor v leiden thrombophilia
S3844|"Dna analysis of the connexin 26 gene (gjb2) for susceptibility to congenital, profound deafness"
S3845|Genetic testing for alpha-thalassemia
S3846|Genetic testing for hemoglobin e beta-thalassemia
S3847|Genetic testing for tay-sachs disease
S3848|Genetic testing for gaucher disease
S3849|Genetic testing for niemann-pick disease
S3850|Genetic testing for sickle cell anemia
S3851|Genetic testing for canavan disease
S3852|Dna analysis for apoe epsilon 4 allele for susceptibility to alzheimer's disease
S3853|Genetic testing for myotonic muscular dystrophy
S3854|Gene expression profiling panel for use in the management of breast cancer treatment
S3855|Genetic testing for detection of mutations in the presenilin - 1 gene
S3860|"Genetic testing, comprehensive cardiac ion channel analysis, for variants in 5 major cardiac ion channel genes for individuals with high index of suspicion for familial long qt syndrome (lqts) or related syndromes"
S3861|"Genetic testing, sodium channel, voltage-gated, type v, alpha subunit (scn5a) and variants for suspected brugada syndrome"
S3862|"Genetic testing, family-specific ion channel analysis, for blood-relatives of individuals (index case) who have previously tested positive for a genetic variant of a cardiac ion channel syndrome using either one of the above test configurations or confirmed results from another laboratory"
S3865|Comprehensive gene sequence analysis for hypertrophic cardiomyopathy
S3866|Genetic analysis for a specific gene mutation for hypertrophic cardiomyopathy (hcm) in an individual with a known hcm mutation in the family
S3870|"Comparative genomic hybridization (cgh) microarray testing for developmental delay, autism spectrum disorder and/or intellectual disability"
S3890|"Dna analysis, fecal, for colorectal cancer screening"
S3900|Surface electromyography (emg)
S3902|Ballistocardiogram
S3904|Masters two step
S4005|Interim labor facility global (labor occurring but not resulting in delivery)
S4011|"In vitro fertilization; including but not limited to identification and incubation of mature oocytes, fertilization with sperm, incubation of embryo(s), and subsequent visualization for determination of development"
S4013|"Complete cycle, gamete intrafallopian transfer (gift), case rate"
S4014|"Complete cycle, zygote intrafallopian transfer (zift), case rate"
S4015|"Complete in vitro fertilization cycle, not otherwise specified, case rate"
S4016|"Frozen in vitro fertilization cycle, case rate"
S4017|"Incomplete cycle, treatment cancelled prior to stimulation, case rate"
S4018|"Frozen embryo transfer procedure cancelled before transfer, case rate"
S4020|"In vitro fertilization procedure cancelled before aspiration, case rate"
S4021|"In vitro fertilization procedure cancelled after aspiration, case rate"
S4022|"Assisted oocyte fertilization, case rate"
S4023|"Donor egg cycle, incomplete, case rate"
S4025|"Donor services for in vitro fertilization (sperm or embryo), case rate"
S4026|Procurement of donor sperm from sperm bank
S4027|Storage of previously frozen embryos
S4028|Microsurgical epididymal sperm aspiration (mesa)
S4030|Sperm procurement and cryopreservation services; initial visit
S4031|Sperm procurement and cryopreservation services; subsequent visit
S4035|"Stimulated intrauterine insemination (iui), case rate"
S4037|"Cryopreserved embryo transfer, case rate"
S4040|"Monitoring and storage of cryopreserved embryos, per 30 days"
S4042|"Management of ovulation induction (interpretation of diagnostic tests and studies, non-face-to-face medical management of the patient), per cycle"
S4981|Insertion of levonorgestrel-releasing intrauterine system
S4989|"Contraceptive intrauterine device (e.g., progestacert iud), including implants and supplies"
S4990|"Nicotine patches, legend"
S4991|"Nicotine patches, non-legend"
S4993|Contraceptive pills for birth control
S4995|Smoking cessation gum
S5000|"Prescription drug, generic"
S5001|"Prescription drug, brand name"
S5010|"5% dextrose and 0.45% normal saline, 1000 ml"
S5011|"5% dextrose in lactated ringer's, 1000 ml"
S5012|"5% dextrose with potassium chloride, 1000 ml"
S5013|"5% dextrose/0.45% normal saline with potassium chloride and magnesium sulfate, 1000 ml"
S5014|"5% dextrose/0.45% normal saline with potassium chloride and magnesium sulfate, 1500 ml"
S5035|"Home infusion therapy, routine service of infusion device (e.g., pump maintenance)"
S5036|"Home infusion therapy, repair of infusion device (e.g., pump repair)"
S5100|"Day care services, adult; per 15 minutes"
S5101|"Day care services, adult; per half day"
S5102|"Day care services, adult; per diem"
S5105|"Day care services, center-based; services not included in program fee, per diem"
S5108|"Home care training to home care client, per 15 minutes"
S5109|"Home care training to home care client, per session"
S5110|"Home care training, family; per 15 minutes"
S5111|"Home care training, family; per session"
S5115|"Home care training, non-family; per 15 minutes"
S5116|"Home care training, non-family; per session"
S5120|Chore services; per 15 minutes
S5121|Chore services; per diem
S5125|Attendant care services; per 15 minutes
S5126|Attendant care services; per diem
S5130|"Homemaker service, nos; per 15 minutes"
S5131|"Homemaker service, nos; per diem"
S5135|"Companion care, adult (e.g., iadl/adl); per 15 minutes"
S5136|"Companion care, adult (e.g., iadl/adl); per diem"
S5140|"Foster care, adult; per diem"
S5141|"Foster care, adult; per month"
S5145|"Foster care, therapeutic, child; per diem"
S5146|"Foster care, therapeutic, child; per month"
S5150|"Unskilled respite care, not hospice; per 15 minutes"
S5151|"Unskilled respite care, not hospice; per diem"
S5160|Emergency response system; installation and testing
S5161|"Emergency response system; service fee, per month (excludes installation and testing)"
S5162|Emergency response system; purchase only
S5165|Home modifications; per service
S5170|"Home delivered meals, including preparation; per meal"
S5175|"Laundry service, external, professional; per order"
S5180|"Home health respiratory therapy, initial evaluation"
S5181|"Home health respiratory therapy, nos, per diem"
S5185|"Medication reminder service, non-face-to-face; per month"
S5190|"Wellness assessment, performed by non-physician"
S5199|"Personal care item, nos, each"
S5497|"Home infusion therapy, catheter care / maintenance, not otherwise classified; includes administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S5498|"Home infusion therapy, catheter care / maintenance, simple (single lumen), includes administrative services, professional pharmacy services, care coordination and all necessary supplies and equipment, (drugs and nursing visits coded separately), per diem"
S5501|"Home infusion therapy, catheter care / maintenance, complex (more than one lumen), includes administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S5502|"Home infusion therapy, catheter care / maintenance, implanted access device, includes administrative services, professional pharmacy services, care coordination and all necessary supplies and equipment, (drugs and nursing visits coded separately), per diem (use this code for interim maintenance of vascular access not currently in use)"
S5517|"Home infusion therapy, all supplies necessary for restoration of catheter patency or declotting"
S5518|"Home infusion therapy, all supplies necessary for catheter repair"
S5520|"Home infusion therapy, all supplies (including catheter) necessary for a peripherally inserted central venous catheter (picc) line insertion"
S5521|"Home infusion therapy, all supplies (including catheter) necessary for a midline catheter insertion"
S5522|"Home infusion therapy, insertion of peripherally inserted central venous catheter (picc), nursing services only (no supplies or catheter included)"
S5523|"Home infusion therapy, insertion of midline venous catheter, nursing services only (no supplies or catheter included)"
S5550|"Insulin, rapid onset, 5 units"
S5551|"Insulin, most rapid onset (lispro or aspart); 5 units"
S5552|"Insulin, intermediate acting (nph or lente); 5 units"
S5553|"Insulin, long acting; 5 units"
S5560|"Insulin delivery device, reusable pen; 1.5 ml size"
S5561|"Insulin delivery device, reusable pen; 3 ml size"
S5565|Insulin cartridge for use in insulin delivery device other than pump; 150 units
S5566|Insulin cartridge for use in insulin delivery device other than pump; 300 units
S5570|"Insulin delivery device, disposable pen (including insulin); 1.5 ml size"
S5571|"Insulin delivery device, disposable pen (including insulin); 3 ml size"
S8030|Scleral application of tantalum ring(s) for localization of lesions for proton beam therapy
S8032|Low-dose computed tomography for lung cancer screening
S8035|Magnetic source imaging
S8037|Magnetic resonance cholangiopancreatography (mrcp)
S8040|Topographic brain mapping
S8042|"Magnetic resonance imaging (mri), low-field"
S8049|Intraoperative radiation therapy (single administration)
S8055|"Ultrasound guidance for multifetal pregnancy reduction(s), technical component (only to be used when the physician doing the reduction procedure does not perform the ultrasound, guidance is included in the cpt code for multifetal pregnancy reduction - 59866)"
S8080|"Scintimammography (radioimmunoscintigraphy of the breast), unilateral, including supply of radiopharmaceutical"
S8085|Fluorine-18 fluorodeoxyglucose (f-18 fdg) imaging using dual-head coincidence detection system (non-dedicated pet scan)
S8092|"Electron beam computed tomography (also known as ultrafast ct, cine ct)"
S8096|Portable peak flow meter
S8097|"Asthma kit (including but not limited to portable peak expiratory flow meter, instructional video, brochure, and/or spacer)"
S8100|Holding chamber or spacer for use with an inhaler or nebulizer; without mask
S8101|Holding chamber or spacer for use with an inhaler or nebulizer; with mask
S8110|Peak expiratory flow rate (physician services)
S8120|"Oxygen contents, gaseous, 1 unit equals 1 cubic foot"
S8121|"Oxygen contents, liquid, 1 unit equals 1 pound"
S8130|"Interferential current stimulator, 2 channel"
S8131|"Interferential current stimulator, 4 channel"
S8185|Flutter device
S8186|Swivel adapter
S8189|"Tracheostomy supply, not otherwise classified"
S8210|Mucus trap
S8262|"Mandibular orthopedic repositioning device, each"
S8265|Haberman feeder for cleft lip/palate
S8270|"Enuresis alarm, using auditory buzzer and/or vibration device"
S8301|"Infection control supplies, not otherwise specified"
S8415|Supplies for home delivery of infant
S8420|"Gradient pressure aid (sleeve and glove combination), custom made"
S8421|"Gradient pressure aid (sleeve and glove combination), ready made"
S8422|"Gradient pressure aid (sleeve), custom made, medium weight"
S8423|"Gradient pressure aid (sleeve), custom made, heavy weight"
S8424|"Gradient pressure aid (sleeve), ready made"
S8425|"Gradient pressure aid (glove), custom made, medium weight"
S8426|"Gradient pressure aid (glove), custom made, heavy weight"
S8427|"Gradient pressure aid (glove), ready made"
S8428|"Gradient pressure aid (gauntlet), ready made"
S8429|Gradient pressure exterior wrap
S8430|"Padding for compression bandage, roll"
S8431|"Compression bandage, roll"
S8450|"Splint, prefabricated, digit (specify digit by use of modifier)"
S8451|"Splint, prefabricated, wrist or ankle"
S8452|"Splint, prefabricated, elbow"
S8460|"Camisole, post-mastectomy"
S8490|"Insulin syringes (100 syringes, any size)"
S8930|Electrical stimulation of auricular acupuncture points; each 15 minutes of personal one-on-one contact with the patient
S8940|"Equestrian/hippotherapy, per session"
S8948|Application of a modality (requiring constant provider attendance) to one or more areas; low-level laser; each 15 minutes
S8950|"Complex lymphedema therapy, each 15 minutes"
S8990|Physical or manipulative therapy performed for maintenance rather than restoration
S8999|Resuscitation bag (for use by patient on artificial respiration during power failure or other catastrophic event)
S9001|Home uterine monitor with or without associated nursing services
S9007|Ultrafiltration monitor
S9015|Automated eeg monitoring
S9024|Paranasal sinus ultrasound
S9025|Omnicardiogram/cardiointegram
S9034|"Extracorporeal shockwave lithotripsy for gall stones (if performed with ercp, use 43265)"
S9055|Procuren or other growth factor preparation to promote wound healing
S9056|Coma stimulation per diem
S9061|"Home administration of aerosolized drug therapy (e.g., pentamidine); administrative services, professional pharmacy services, care coordination, all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9083|Global fee urgent care centers
S9088|Services provided in an urgent care center (list in addition to code for service)
S9090|"Vertebral axial decompression, per session"
S9097|Home visit for wound care
S9098|"Home visit, phototherapy services (e.g., bili-lite), including equipment rental, nursing services, blood draw, supplies, and other services, per diem"
S9109|"Congestive heart failure telemonitoring, equipment rental, including telescale, computer system and software, telephone connections, and maintenance, per month"
S9110|"Telemonitoring of patient in their home, including all necessary equipment; computer system, connections, and software; maintenance; patient education and support; per month"
S9117|"Back school, per visit"
S9122|"Home health aide or certified nurse assistant, providing care in the home; per hour"
S9123|"Nursing care, in the home; by registered nurse, per hour (use for general nursing care only, not to be used when cpt codes 99500-99602 can be used)"
S9124|"Nursing care, in the home; by licensed practical nurse, per hour"
S9125|"Respite care, in the home, per diem"
S9126|"Hospice care, in the home, per diem"
S9127|"Social work visit, in the home, per diem"
S9128|"Speech therapy, in the home, per diem"
S9129|"Occupational therapy, in the home, per diem"
S9131|"Physical therapy; in the home, per diem"
S9140|"Diabetic management program, follow-up visit to non-md provider"
S9141|"Diabetic management program, follow-up visit to md provider"
S9145|"Insulin pump initiation, instruction in initial use of pump (pump not included)"
S9150|Evaluation by ocularist
S9152|"Speech therapy, re-evaluation"
S9208|"Home management of preterm labor, including administrative services, professional pharmacy services, care coordination, and all necessary supplies or equipment (drugs and nursing visits coded separately), per diem (do not use this code with any home infusion per diem code)"
S9209|"Home management of preterm premature rupture of membranes (pprom), including administrative services, professional pharmacy services, care coordination, and all necessary supplies or equipment (drugs and nursing visits coded separately), per diem (do not use this code with any home infusion per diem code)"
S9211|"Home management of gestational hypertension, includes administrative services, professional pharmacy services, care coordination and all necessary supplies and equipment (drugs and nursing visits coded separately); per diem (do not use this code with any home infusion per diem code)"
S9212|"Home management of postpartum hypertension, includes administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem (do not use this code with any home infusion per diem code)"
S9213|"Home management of preeclampsia, includes administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing services coded separately); per diem (do not use this code with any home infusion per diem code)"
S9214|"Home management of gestational diabetes, includes administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately); per diem (do not use this code with any home infusion per diem code)"
S9325|"Home infusion therapy, pain management infusion; administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment, (drugs and nursing visits coded separately), per diem (do not use this code with s9326, s9327 or s9328)"
S9326|"Home infusion therapy, continuous (twenty-four hours or more) pain management infusion; administrative services, professional pharmacy services, care coordination and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9327|"Home infusion therapy, intermittent (less than twenty-four hours) pain management infusion; administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9328|"Home infusion therapy, implanted pump pain management infusion; administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9329|"Home infusion therapy, chemotherapy infusion; administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem (do not use this code with s9330 or s9331)"
S9330|"Home infusion therapy, continuous (twenty-four hours or more) chemotherapy infusion; administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9331|"Home infusion therapy, intermittent (less than twenty-four hours) chemotherapy infusion; administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9335|"Home therapy, hemodialysis; administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing services coded separately), per diem"
S9336|"Home infusion therapy, continuous anticoagulant infusion therapy (e.g., heparin), administrative services, professional pharmacy services, care coordination and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9338|"Home infusion therapy, immunotherapy, administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9339|"Home therapy; peritoneal dialysis, administrative services, professional pharmacy services, care coordination and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9340|"Home therapy; enteral nutrition; administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (enteral formula and nursing visits coded separately), per diem"
S9341|"Home therapy; enteral nutrition via gravity; administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (enteral formula and nursing visits coded separately), per diem"
S9342|"Home therapy; enteral nutrition via pump; administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (enteral formula and nursing visits coded separately), per diem"
S9343|"Home therapy; enteral nutrition via bolus; administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (enteral formula and nursing visits coded separately), per diem"
S9345|"Home infusion therapy, anti-hemophilic agent infusion therapy (e.g., factor viii); administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9346|"Home infusion therapy, alpha-1-proteinase inhibitor (e.g., prolastin); administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9347|"Home infusion therapy, uninterrupted, long-term, controlled rate intravenous or subcutaneous infusion therapy (e.g., epoprostenol); administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9348|"Home infusion therapy, sympathomimetic/inotropic agent infusion therapy (e.g., dobutamine); administrative services, professional pharmacy services, care coordination, all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9349|"Home infusion therapy, tocolytic infusion therapy; administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9351|"Home infusion therapy, continuous or intermittent anti-emetic infusion therapy; administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and visits coded separately), per diem"
S9353|"Home infusion therapy, continuous insulin infusion therapy; administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9355|"Home infusion therapy, chelation therapy; administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9357|"Home infusion therapy, enzyme replacement intravenous therapy; (e.g., imiglucerase); administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9359|"Home infusion therapy, anti-tumor necrosis factor intravenous therapy; (e.g., infliximab); administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9361|"Home infusion therapy, diuretic intravenous therapy; administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9363|"Home infusion therapy, anti-spasmotic therapy; administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9364|"Home infusion therapy, total parenteral nutrition (tpn); administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment including standard tpn formula (lipids, specialty amino acid formulas, drugs other than in standard formula and nursing visits coded separately), per diem (do not use with home infusion codes s9365-s9368 using daily volume scales)"
S9365|"Home infusion therapy, total parenteral nutrition (tpn); one liter per day, administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment including standard tpn formula (lipids, specialty amino acid formulas, drugs other than in standard formula and nursing visits coded separately), per diem"
S9366|"Home infusion therapy, total parenteral nutrition (tpn); more than one liter but no more than two liters per day, administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment including standard tpn formula (lipids, specialty amino acid formulas, drugs other than in standard formula and nursing visits coded separately), per diem"
S9367|"Home infusion therapy, total parenteral nutrition (tpn); more than two liters but no more than three liters per day, administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment including standard tpn formula (lipids, specialty amino acid formulas, drugs other than in standard formula and nursing visits coded separately), per diem"
S9368|"Home infusion therapy, total parenteral nutrition (tpn); more than three liters per day, administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment including standard tpn formula (lipids, specialty amino acid formulas, drugs other than in standard formula and nursing visits coded separately), per diem"
S9370|"Home therapy, intermittent anti-emetic injection therapy; administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9372|"Home therapy; intermittent anticoagulant injection therapy (e.g., heparin); administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem (do not use this code for flushing of infusion devices with heparin to maintain patency)"
S9373|"Home infusion therapy, hydration therapy; administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem (do not use with hydration therapy codes s9374-s9377 using daily volume scales)"
S9374|"Home infusion therapy, hydration therapy; one liter per day, administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9375|"Home infusion therapy, hydration therapy; more than one liter but no more than two liters per day, administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9376|"Home infusion therapy, hydration therapy; more than two liters but no more than three liters per day, administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9377|"Home infusion therapy, hydration therapy; more than three liters per day, administrative services, professional pharmacy services, care coordination, and all necessary supplies (drugs and nursing visits coded separately), per diem"
S9379|"Home infusion therapy, infusion therapy, not otherwise classified; administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9381|"Delivery or service to high risk areas requiring escort or extra protection, per visit"
S9401|"Anticoagulation clinic, inclusive of all services except laboratory tests, per session"
S9430|Pharmacy compounding and dispensing services
S9433|"Medical food nutritionally complete, administered orally, providing 100% of nutritional intake"
S9434|Modified solid food supplements for inborn errors of metabolism
S9435|Medical foods for inborn errors of metabolism
S9436|"Childbirth preparation/lamaze classes, non-physician provider, per session"
S9437|"Childbirth refresher classes, non-physician provider, per session"
S9438|"Cesarean birth classes, non-physician provider, per session"
S9439|"Vbac (vaginal birth after cesarean) classes, non-physician provider, per session"
S9441|"Asthma education, non-physician provider, per session"
S9442|"Birthing classes, non-physician provider, per session"
S9443|"Lactation classes, non-physician provider, per session"
S9444|"Parenting classes, non-physician provider, per session"
S9445|"Patient education, not otherwise classified, non-physician provider, individual, per session"
S9446|"Patient education, not otherwise classified, non-physician provider, group, per session"
S9447|"Infant safety (including cpr) classes, non-physician provider, per session"
S9449|"Weight management classes, non-physician provider, per session"
S9451|"Exercise classes, non-physician provider, per session"
S9452|"Nutrition classes, non-physician provider, per session"
S9453|"Smoking cessation classes, non-physician provider, per session"
S9454|"Stress management classes, non-physician provider, per session"
S9455|"Diabetic management program, group session"
S9460|"Diabetic management program, nurse visit"
S9465|"Diabetic management program, dietitian visit"
S9470|"Nutritional counseling, dietitian visit"
S9472|"Cardiac rehabilitation program, non-physician provider, per diem"
S9473|"Pulmonary rehabilitation program, non-physician provider, per diem"
S9474|"Enterostomal therapy by a registered nurse certified in enterostomal therapy, per diem"
S9475|"Ambulatory setting substance abuse treatment or detoxification services, per diem"
S9476|"Vestibular rehabilitation program, non-physician provider, per diem"
S9480|"Intensive outpatient psychiatric services, per diem"
S9482|"Family stabilization services, per 15 minutes"
S9484|"Crisis intervention mental health services, per hour"
S9485|"Crisis intervention mental health services, per diem"
S9490|"Home infusion therapy, corticosteroid infusion; administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9494|"Home infusion therapy, antibiotic, antiviral, or antifungal therapy; administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem (do not use this code with home infusion codes for hourly dosing schedules s9497-s9504)"
S9497|"Home infusion therapy, antibiotic, antiviral, or antifungal therapy; once every 3 hours; administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9500|"Home infusion therapy, antibiotic, antiviral, or antifungal therapy; once every 24 hours; administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9501|"Home infusion therapy, antibiotic, antiviral, or antifungal therapy; once every 12 hours; administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9502|"Home infusion therapy, antibiotic, antiviral, or antifungal therapy; once every 8 hours, administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9503|"Home infusion therapy, antibiotic, antiviral, or antifungal; once every 6 hours; administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9504|"Home infusion therapy, antibiotic, antiviral, or antifungal; once every 4 hours; administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9529|"Routine venipuncture for collection of specimen(s), single home bound, nursing home, or skilled nursing facility patient"
S9537|"Home therapy; hematopoietic hormone injection therapy (e.g., erythropoietin, g-csf, gm-csf); administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9538|"Home transfusion of blood product(s); administrative services, professional pharmacy services, care coordination and all necessary supplies and equipment (blood products, drugs, and nursing visits coded separately), per diem"
S9542|"Home injectable therapy, not otherwise classified, including administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9558|"Home injectable therapy; growth hormone, including administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9559|"Home injectable therapy, interferon, including administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9560|"Home injectable therapy; hormonal therapy (e.g.; leuprolide, goserelin), including administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9562|"Home injectable therapy, palivizumab, including administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9590|"Home therapy, irrigation therapy (e.g., sterile irrigation of an organ or anatomical cavity); including administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem"
S9810|"Home therapy; professional pharmacy services for provision of infusion, specialty drug administration, and/or disease state management, not otherwise classified, per hour (do not use this code with any per diem code)"
S9900|"Services by a journal-listed christian science practitioner for the purpose of healing, per diem"
S9901|"Services by a journal-listed christian science nurse, per hour"
S9960|"Ambulance service, conventional air service, nonemergency transport, one way (fixed wing)"
